# configuration: (512,256,64) n=3 ensemble
n_epochs = 100, ratio=3.14
n_epochs = 110, ratio=2.64
n_epochs = 120, ratio=2.16
n_epochs = 130, ratio=1.65
n_epochs = 140, ratio=1.49
n_epochs = 150, ratio=1.40
n_epochs = 160, ratio=1.40
n_epochs = 180, ratio=1.32
n_epochs = 200, ratio=1.28
n_epochs = 220, ratio=1.25
n_epochs = 240, ratio=1.11
n_epochs = 260, ratio=0.96
n_epochs = 300, ratio=0.73
n_epochs = 320, ratio=0.69
n_epochs = 340, ratio=0.63
n_epochs = 360, ratio=0.63
n_epochs = 380, ratio=0.64
n_epochs = 400, ratio=0.58
n_epochs = 400, ratio=0.56

