Topology,n_models_ensemble,n_epoch,ratio_mse
512_256_64,8,100,3.05
512_256_64,8,110,2.46
512_256_64,8,120,1.85
512_256_64,8,130,1.6
512_256_64,8,140,1.43
512_256_64,8,150,1.41
512_256_64,8,160,1.37
512_256_64,8,170,1.33
512_256_64,8,180,1.31
512_256_64,8,190,1.28
512_256_64,8,200,1.23
512_256_64,8,220,1.21
512_256_64,8,240,1.07
512_256_64,8,260,0.85
512_256_64,8,280,0.76
512_256_64,8,300,0.69
512_256_64,8,320,0.71
512_256_64,8,340,0.65
512_256_64,8,360,0.6
512_256_64,8,380,0.59
512_256_64,8,400,0.57
